id;logo_path;name;origin_country;movie_id
1302;/zC3b70ixHh89qJIikLQPEvLqbPM.png;Davis Entertainment;US;169
840;;Lawrence Gordon Productions;US;169
1885;/tXMFoE8AtNdnFzWOW0aCLwl7xxS.png;Silver Pictures;US;169
25;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;169
284;;DNA Films;GB;170
28766;;Productions Marcel Dassault;FR;171
9;/nda3dTUYdDrJ6rZqBpYvY865aDv.png;Gaumont;FR;171
7961;;Gaumont International;FR;171
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;172
3166;/vyyv4Gy9nPqAZKElPm2izLlEaVS.png;Walt Disney Productions;US;173
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;174
9;/nda3dTUYdDrJ6rZqBpYvY865aDv.png;Gaumont;FR;175
2061;/o9LbN33hRaj4qcebUv1bikyXeoB.png;Twisted Pictures;US;176
23019;;Evolution Entertainment;;176
55405;;Saw Productions Inc.;;176
1632;/cisLn1YAUuptXVBa0xjq7ST9cH0.png;Lionsgate;US;176
559;/jqWioYeGSyTLuHth0141bTGvu6H.png;TriStar Pictures;US;177
2231;/zJBTkTxy0UiQETGRynEqxiFbmL8.png;Trilogy Entertainment Group;US;178
21;/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png;Metro-Goldwyn-Mayer;US;178
932;;Mirage Enterprises;US;179
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;179
694;/5LEHONGkZBIoWvp1ygHOF8iyi1M.png;StudioCanal;FR;179
10163;/16KWBMmfPX0aJzDExDrPxSLj0Pg.png;Working Title Films;GB;179
11581;/yIORcWTFHtbXvWjqXAqFuMxx0K0.png;Misher Films;US;179
20194;;Motion Picture JOTA Produktions;;179
76068;;Digital Image Associates;;180
44;;Cruise/Wagner Productions;US;180
766;;Blue Tulip Productions;;180
26265;;Ronald Shusett/Gary Goldman;;180
56;/cEaxANEisCqeEoRvODv2dO1I0iI.png;Amblin Entertainment;US;180
25;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;180
7;/vru2SssLX3FPhnKZGtYw00pVIS9.png;DreamWorks Pictures;US;180
70319;;Sunset Gower Studios;;182
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;182
129;;Section Eight;US;182
